title,price,کاربری,کشور برند,ابعاد (میلیمتر),وزن (کیلوگرم),جنس بدنه,شرکت سازنده پردازنده,نوع سری پردازنده,نسل پردازنده,سری پردازنده,مدل,فرکانس پایه,فرکانس افزایشی,حافظه کش,تعداد هسته,تعداد رشته,فناوری ساخت پردازنده,معماری ساخت,مصرف برق پردازنده,مقدار حافظه رم,نوع رم,باس رم,تعداد اسلات رم,قابلیت ارتقاء رم,نوع حافظه,ظرفیت SSD,نوع اتصال SSD,تعداد اسلات SSD,شرکت سازنده گرافیک,نوع گرافیک,مدل گرافیک,حجم گرافیک,رم گرافیک,رابط حافظه,توان گرافیک,توان افزایشی,DirectX,PCIe,سایز صفحه نمایش (اینچ),پنل تصویر,نوع نمایش تصویر,وضوح تصویر,رزولوشن,نرخ تصویر,نسبت تصویر,Adobe RGB,sRGB,Type-C,USB 3.2,ظرفیت و نوع,جنس باطری,میزان شارژ دهی,توان آداپتور,نوع نمایش نور کیبورد,تعداد اسپیکر,نوع اسپیکر,تعداد فن,محتویات جعبه
لپ تاپ اپل 13.6 اینچی مدل Apple MacBook Air 2022 Midnight MLY33 پردازنده M2 رم 8GB حافظه 256GB SSD ا Apple MacBook Air 2022 Midnight MLY33 M2 8GB 256GB SSD 13.6 inch Laptop,از ۵۶٫۲۰۰٫۰۰۰ تومان,,,,,,,,,Apple M2,,,,,۸ هسته,,,,,,,,,,,,,,,,,,,,,,,,,,,۲۵۶۰x۱۶۶۴ پیکسل,,,,,,,,,,,,,,,,
لپ تاپ ایسوس 15.6 اینچی مدل TUF Gaming A15 FA507RE پردازنده Ryzen 7 6800H رم 16GB حافظه 512GB SSD گرافیک 4GB 3050TI ا TUF Gaming A15 FA507RE Ryzen 7 6800H 16GB 512GB SSD 4GB RTX 3050TI Full HD Laptop,از ۴۴٫۸۰۰٫۰۰۰ تومان,"تدوین, طراحی, گیمینگ",تایوان,354x251x22.4,2.2,فلز آلومینیوم، پلاستیک,AMD,AMD Rembrandt (Zen 3+),نسل 6,Ryzen 7,6800H,3.2GHz,4.7GHz,20MB,8,16,6 نانومتری,x86,45 وات,16GB,DDR5,4800MHz,2,Up to 40GB,SSD,512GB,PCIe NVMe,2,NVIDIA,GeForce,RTX 3050,4GB,GDDR6,128Bit,80 وات,95 وات,DirectX 12,4.0,15.6,IPS,Wide View,Full HD,1920x1080,144Hz,16:9,47.34%,62.5%,"(DisplayPort), 2",2,4Cell 56WHr,لیتیوم یون,2 الی 3 ساعت,200 وات,Backlit Chiclet Keyboard RGB,2 عدد,Dolby Atmos,2,"دفترچه راهنما, شارژر, کابل شارژر"
لپ تاپ ایسوس TUF Gaming F15 FX506HE | 16GB RAM | 512GB SSD | i5 | 4GB VGA ا Asus TUF Gaming F15 FX506HE,از ۳۹٫۱۵۰٫۰۰۰ تومان,,,,2.3,,,,,Corei5,,,,,6,12,,,,,,3200MHZ,,,,,,,,,,,,128Bit,60 تا 75 وات,,,,,WV,,FULL HD,1080*1920,,,,,,,,,,,,,,,
لپ تاپ لنوو  8G RAM | 512GB SSD | 2GB VGA | i5 | IdeaPad 5 ا Lenovo IdeaPad 5,از ۲۳٫۲۹۰٫۰۰۰ تومان,,,,,,,,,11th Gen\Tiger Lake,,2.40GHz,,,,,,,,,,,1×,,,512GB,,,,,NVIDIA GeForce MX450,,,,,,,,,,,1080 × 1920 @ FULL HD,,,,,,,,,,,,,,,,
"لپ تاپ ایسوس مدل ASUS ROG Strix G16 (2023) ا ASUS ROG Strix G16 (2023),Intel Core i7-13650HX,16GB DDR5,512GB PCIe SSD, GeForce RTX 4060 8GB,16” 16:10 FHD 165Hz,Wi-Fi 6E, Windows 11, G614JV-AS73, Eclipse Gray",از ۸۰٫۹۹۰٫۰۰۰ تومان,,,,,آلومینیوم، پلاستیک,,,,Core i7,,,,,14 هسته حقیقی + 20 هسته مجازی,,,,,,,4800 مگاهرتز,,,,,,2 عدد,,,,,,,,,DirectX 12,,,,,1200x1920 پیکسل - FHD+,,,,,,,,,,,,,,,2 عدد,
لپ تاپ ایسوس ROG STRIX G513IM | 16GB RAM | 1TB SSD | Ryzen 7 |6GB VGA ا Asus  ROG STRIX G513IM,۴ فروشنده دیگر,"تدوین, طراحی, گیمینگ",تایوان,354x259x25.9,2.1,فلز، پلاستیک,AMD,Renoir (Zen 2),نسل 4,Ryzen 7,4800H,2.9GHz,4.2GHz,8MB,8,16,7 نانومتری,x86,45 وات,16GB,DDR4,3200MHz,2,Up to 32GB,SSD,1TB,PCIe NVMe,2,NVIDIA,GeForce,RTX 3050 Ti,4GB,GDDR6,128Bit,80 وات,95 وات,DirectX 12,4.0,15.6,IPS,Wide View,Full HD,1920x1080,144Hz,16:9,47.34%,62.5%,"(DisplayPort), (Power Delivery), 1",3,4Cell 56WHr,لیتیوم یون,1 الی 2 ساعت,200 وات,4Zone RGB,2 عدد,Dolby Atmos,2,"دفترچه راهنما, شارژر, کابل شارژر"
لپ تاپ لنوو Legion 5 Pro | 32GB RAM | 1TB SSD | i7 | 6GB VGA ا Lenovo  Legion 5 Pro,از ۶۷٫۸۷۰٫۰۰۰ تومان,"برنامه نویسی, تدوین, طراحی, گیمینگ",چین,359.9x264.4x19.9,2.49,آلومینیوم,Intel,Alder Lake,نسل 12,Core i7,12700H,2.3GHz,4.7GHz,24MB,14,20,10 نانومتری,x86,45 وات,32GB,DDR5,4800MHz,2,,SSD,1TB,PCIe NVMe,2,NVIDIA,GeForce,RTX 3060,6GB,GDDR6,192Bit,140 وات,,DirectX 12,4.0,16.0,IPS,,WQXGA,2560x1600,165Hz,16:10,,100%,"(Thunderbolt 4), 3",3,4Cell 80WHr,لیتیوم پلیمر,2 الی 3 ساعت,300 وات,4Zone RGB,2 عدد,Nahimic Audio,2,"دفترچه راهنما, شارژر, کابل شارژر"
لپ تاپ  ایسوس G533ZW | 16GB RAM | 1TB SSD | i9 12900H | VGA 3070TI 8GB ا ASUS  G533ZW,از ۱۱۰٫۲۹۰٫۰۰۰ تومان,,,354×259×27.2,,,,,,12900H,,,,24 MB,14 هسته حقیقی + 20 هسته مجازی,,10 نانومتری,x86,45 وات,,,,,,SSD,,"PCIe NVMe®, PCIe 4.0",2 عدد,,GeForce,,,,,,,DirectX 12,,,IPS,,,1440×2560 پیکسل,240 هرتز,16:9,,,,,,,,280 وات,Backlit Chiclet Keyboard Per-Key RGB,4 عدد,Dolby Atmos,,
لپ‌تاپ ایسوس X543MA | 4GB RAM | 1TB HDD | N4020 ا ASUS  VivoBook  Max  X543MA  Z,از ۱۱٫۰۰۰٫۰۰۰ تومان,,,27.2*251*381,1.9,,,,,Celeron,N4020,1.1GHz,2.8GHz,4MB,2,2,,,,,DDR4,2400MHz,,ندارد,هارد دیسک,,,,,Intel UHD Graphics,600,UP TO 2GB,,,,,,,15.6,TFT,,FULL HD,1080*1920,60Hz,,,,,,3CELL 33WHr,,,,,,,,
لپ‌ تاپ لنوو مدل IdeaPad Gaming 3 | I7 (11370H) | 1TB HDD 256GB SSD | 16GB RAM | 4GB(RTX 3050m),از ۲۸٫۷۱۰٫۰۰۰ تومان,"برنامه نویسی, طراحی, گیمینگ, مالتی مدیا",چین,359.6x251.9x24.2,2.2,پلاستیک,Intel,Tiger Lake,نسل 11,Core i7,11370H,3.3GHz,4.8GHz,12MB,4,8,10 نانومتری,x86,35 وات,16GB,DDR4,3200MHz,2,Up to 32GB,"HDD, SSD",256GB,PCIe NVMe,2,NVIDIA,GeForce,RTX 3050,4GB,GDDR6,128Bit,90 وات,,DirectX 12,4.0,15.6,IPS,,Full HD,1920x1080,120Hz,16:9,,,1,2,3Cell 45WHr,لیتیوم پلیمر,1 الی 2 ساعت,135 وات,4Zone RGB,2 عدد,Nahimic Audio,2,"دفترچه راهنما, شارژر, کابل شارژر"
